0.01655,-4.8986
0.02833,-4.6232
0.0302,-4.4348
0.03997,-4.1449
0.05771,-3.8261
0.06953,-3.6087
0.08537,-3.4493
0.09323,-3.2754
0.11108,-3.1304
0.12693,-2.9855
0.14875,-2.8116
0.17856,-2.6667
0.2044,-2.5362
0.23222,-2.4058
0.26007,-2.3043
0.27795,-2.2029
0.30978,-2.1014
0.34363,-2.029
0.36749,-1.9275
0.40334,-1.8696
0.43319,-1.7826
0.45908,-1.7391
0.49292,-1.6522
0.52081,-1.6232
0.55066,-1.5362
0.57857,-1.5217
0.61441,-1.4493
0.6383,-1.3913
0.66817,-1.3333
0.69604,-1.2754
0.72391,-1.2029
0.74976,-1.1014
0.76565,-1.0145
0.78748,-0.8551
0.80136,-0.7391
0.81723,-0.6232
0.82913,-0.5217
0.84898,-0.3913
0.86088,-0.2899
0.87678,-0.2174
0.89866,-0.1449
0.92457,-0.1159
0.95246,-0.087
0.97838,-0.087
1.01026,-0.058
1.05012,-0.029
1.09199,-0.029
1.12788,-0.029
1.14981,-0.029
1.17374,-0.029
1.20963,-0.029
1.24353,-0.029
1.27543,-0.029
