0.00745,4.46707
0.03333,4.40982
0.05721,4.34683
0.09508,4.29534
0.13096,4.26103
0.16286,4.23245
0.19476,4.2096
0.22468,4.1982
0.25459,4.18108
0.2945,4.17543
0.3244,4.15258
0.36431,4.15267
0.40621,4.14703
0.46006,4.12422
0.50795,4.1186
0.5658,4.10153
0.61967,4.10165
0.66755,4.0903
0.72143,4.09042
0.7693,4.07333
0.81717,4.05624
0.8471,4.05058
0.879,4.02773
0.90288,3.95901
0.91672,3.8387
0.92859,3.73557
0.94048,3.64964
0.94637,3.55796
0.95822,3.43191
0.97005,3.28867
0.98191,3.17408
0.99179,3.08242
0.99572,3.01366
