RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,1183.4929,0.36827451,77110674
0.10859375,1581.8272,0.15931407,65267676
0.14765625,1820.2619,0.087766682,51767497
0.18671875,1978.3525,0.055287973,42386090
0.22578125,2090.168,0.037928622,35565798
0.26484375,2172.9733,0.027599834,30427193
0.30390625,2236.4705,0.020967559,26441526
0.34296875,2286.4777,0.016463079,23276975
0.38203125,2326.742,0.013266666,20714020
0.42109375,2359.7683,0.010917418,18602863
0.46015625,2387.2823,0.009140706,16838535
0.49921875,2410.5104,0.0077646997,15345526
0.53828125,2430.3461,0.0066774563,14068274
0.57734375,2447.4551,0.005803532,12965078
0.61640625,2462.3426,0.0050905886,12004093
0.65546875,2475.3988,0.0045013991,11160622
0.69453125,2486.929,0.0040089021,10415243
0.73359375,2497.1758,0.0035930451,9752498
0.77265625,2506.3338,0.0032387151,9159939
0.81171875,2514.5611,0.0029343477,8627443.6
0.85078125,2521.9869,0.0026709725,8146702.9
0.88984375,2528.7184,0.0024415453,7710838.3
0.92890625,2534.8446,0.0022404723,7314111.2
0.96796875,2540.4404,0.0020632666,6951700
1.0070312,2545.5682,0.0019062972,6619529.5
1.0460938,2550.2781,0.0017666144,6314157.6
1.0851562,2554.5875,0.0016418909,6032841.4
1.1242187,2558.331,0.001530817,5774950.9
1.1632812,2560.0522,0.0014357012,5556198.2
1.2023437,2549.8213,0.0013723914,5551777.2
1.2414062,2482.0625,0.0013879302,7156137.1
1.2804687,2265.1741,0.0015555364,14965339
1.3195312,1887.3986,0.0019127224,30749617
1.3585937,1467.2256,0.0024130876,48256782
1.3976562,1113.3349,0.0029448626,62009941
1.4367187,864.05152,0.0033888792,70893107
1.4757812,707.89897,0.0036884953,75963382
1.5148437,614.75958,0.0038617174,78650315
1.5539062,556.9782,0.0039559322,80063501
1.5929687,516.96241,0.0040096064,80865103
1.6320312,485.72206,0.0040441818,81384515
1.6710937,459.19945,0.0040695859,81767701
1.7101562,435.64129,0.004090053,82076095
1.7492187,414.25716,0.0041073931,82336085
1.7882812,394.6396,0.0041224545,82560260
1.8273437,376.53609,0.0041357071,82755738
1.8664062,359.76352,0.0041474608,82927280
1.9054687,344.17605,0.0041579465,83078445
1.9445312,329.65193,0.0041673477,83212058
1.9835938,316.08717,0.0041758154,83330421
2.0226562,303.39181,0.0041834757,83435441
2.0617187,291.48733,0.004190435,83528712
2.1007812,280.30474,0.0041967845,83611571
2.1398437,269.7831,0.0042026025,83685141
2.1789062,259.86826,0.004207957,83750373
2.2179687,250.51194,0.0042129075,83808065
2.2570312,241.6709,0.0042175066,83858887
2.2960937,233.30625,0.0042218012,83903399
2.3351562,225.38295,0.0042258337,83942062
2.3742187,217.86928,0.0042296428,83975247
2.4132812,210.73647,0.004233264,84003249
2.4523437,203.95836,0.0042367308,84026288
2.4914062,197.51108,0.0042400748,84044517
2.5304687,191.37285,0.0042433264,84058023
2.5695312,185.52369,0.0042465155,84066833
2.6085937,179.94529,0.0042496714,84070915
2.6476562,174.6208,0.0042528234,84070178
2.6867187,169.53473,0.0042560015,84064472
2.7257812,164.67276,0.004259236,84053594
2.7648437,160.02167,0.0042625586,84037279
2.8039062,155.56925,0.0042660018,84015209
2.8429687,151.30414,0.0042696,83987005
2.8820312,147.21583,0.0042733891,83952233
2.9210937,143.29455,0.0042774072,83910398
2.9601562,139.53121,0.0042816944,83860947
2.9992187,135.91733,0.0042862934,83803267
3.0382812,132.44502,0.0042912494,83736684
3.0773437,129.10691,0.0042966104,83660468
3.1164062,125.89609,0.0043024275,83573824
3.1554688,122.80614,0.0043087548,83475903
3.1945312,119.831,0.0043156499,83365794
3.2335937,116.96501,0.004323174,83242529
3.2726562,114.20288,0.0043313917,83105085
3.3117187,111.5396,0.0043403719,82952386
3.3507812,108.97049,0.0043501874,82783303
3.3898437,106.49115,0.0043609151,82596661
3.4289062,104.09742,0.0043726367,82391237
3.4679687,101.78539,0.0043854384,82165771
3.5070312,99.551377,0.0043994112,81918964
3.5460937,97.391894,0.0044146516,81649490
3.5851562,95.303657,0.004431261,81355996
3.6242187,93.283561,0.0044493471,81037112
3.6632812,91.328669,0.004469023,80691457
3.7023437,89.436204,0.0044904085,80317648
3.7414062,87.603533,0.0045136301,79914309
3.7804687,85.828166,0.0045388212,79480075
3.8195312,84.107737,0.0045661229,79013609
3.8585937,82.440006,0.0045956845,78513606
3.8976562,80.822846,0.0046276639,77978809
3.9367187,79.254235,0.0046622282,77408013
3.9757812,77.732253,0.0046995545,76800083
4.0148437,76.255076,0.0047398307,76153959
4.0539062,74.820966,0.0047832562,75468675
4.0929687,73.428272,0.0048300432,74743363
4.1320312,72.075419,0.0048804173,73977267
4.1710937,70.760908,0.004934619,73169757
4.2101562,69.483311,0.0049929049,72320336
4.2492187,68.241265,0.0050555491,71428651
4.2882812,67.03347,0.0051228451,70494503
4.3273437,65.858684,0.0051951071,69517856
4.3664062,64.715724,0.0052726725,68498845
4.4054687,63.603457,0.0053559038,67437782
4.4445312,62.520802,0.0054451912,66335162
4.4835937,61.466723,0.0055409555,65191668
4.5226562,60.440232,0.0056436508,64008174
4.5617187,59.440382,0.0057537683,62785744
4.6007812,58.466266,0.0058718401,61525637
4.6398437,57.517016,0.0059984434,60229300
4.6789062,56.591801,0.0061342052,58898369
4.7179687,55.689824,0.0062798082,57534664
4.7570312,54.81032,0.0064359963,56140177
4.7960937,53.952558,0.006603582,54717072
4.8351562,53.115833,0.0067834537,53267670
4.8742187,52.299471,0.0069765849,51794440
