RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,1183.4929,0.36827451,71662299
0.10859375,1581.8272,0.15931407,65267492
0.14765625,1820.2619,0.087766682,51767497
0.18671875,1978.3525,0.055287973,42386089
0.22578125,2090.168,0.037928622,35565798
0.26484375,2172.9733,0.027599834,30427193
0.30390625,2236.4705,0.020967559,26441525
0.34296875,2286.4777,0.016463079,23276975
0.38203125,2326.742,0.013266666,20714020
0.42109375,2359.7683,0.010917418,18602863
0.46015625,2387.2823,0.0091407068,16838535
0.49921875,2410.5102,0.0077647032,15345527
0.53828125,2430.345,0.0066774718,14068281
0.57734375,2447.4493,0.0058036028,12965115
0.61640625,2462.3117,0.0050909225,12004313
0.65546875,2475.2289,0.004502998,11161998
0.69453125,2485.9733,0.0040165092,10424526
0.73359375,2491.7319,0.0036273743,9820783.7
0.77265625,2476.8338,0.0033742112,9682767.2
0.81171875,2385.5419,0.0033657228,11974938
0.85078125,2135.1498,0.0037407889,21185972
0.88984375,1744.1781,0.0045311987,37221712
0.92890625,1336.4553,0.0055886847,53525264
0.96796875,1006.5396,0.0066510847,65684786
1.0070312,779.76912,0.0074867163,73264386
1.0460938,638.252,0.0080219838,77485177
1.0851562,551.3817,0.0083227398,79709205
1.1242187,494.22654,0.0084878469,80908759
1.1632812,452.18361,0.0085861785,81623872
1.2023437,418.19556,0.008652847,82107380
1.2414062,389.12372,0.0087033627,82467209
1.2804687,363.53394,0.0087444305,82749072
1.3195312,340.67904,0.0087792402,82973906
1.3585937,320.09418,0.0088096152,83152631
1.3976562,301.44582,0.0088368129,83291595
1.4367187,284.47401,0.0088618229,83394595
1.4757812,268.96762,0.008885489,83463704
1.5148437,254.75134,0.0089085701,83499680
1.5539062,241.67762,0.0089317767,83502200
1.5929687,229.62095,0.0089557951,83470027
1.6320312,218.47375,0.0089813061,83401130
1.6710937,208.1431,0.0090089983,83292780
1.7101562,198.54829,0.0090395795,83141639
1.7492187,189.6188,0.009073785,82943837
1.7882812,181.29273,0.0091123847,82695051
1.8273437,173.51547,0.0091561897,82390590
1.8664062,166.23869,0.0092060578,82025478
1.9054687,159.41943,0.009262899,81594544
1.9445312,153.01939,0.0093276807,81092526
1.9835938,147.00428,0.0094014342,80514169
2.0226562,141.34335,0.0094852605,79854339
2.0617187,136.00894,0.0095803383,79108139
2.1007812,130.97606,0.009687932,78271022
2.1398437,126.22216,0.009809402,77338912
2.1789062,121.72676,0.0099462161,76308324
2.2179687,117.47128,0.010099963,75176467
2.2570312,113.4388,0.010272369,73941359
2.2960937,109.61387,0.010465314,72601912
2.3351562,105.98241,0.010680856,71158019
2.3742187,102.5315,0.010921256,69610612
2.4132812,99.249296,0.011189004,67961713
2.4523437,96.124938,0.011486856,66214452
2.4914062,93.148422,0.011817873,64373070
2.5304687,90.310534,0.012185467,62442899
2.5695312,87.602774,0.012593454,60430316
2.6085937,85.017289,0.013046116,58342672
2.6476562,82.546816,0.013548279,56188208
2.6867187,80.184626,0.014105394,53975943
2.7257812,77.924478,0.014723642,51715552
2.7648437,75.76058,0.015410056,49417228
2.8039062,73.687544,0.016172659,47091535
2.8429687,71.700359,0.017020642,44749262
2.8820312,69.794356,0.017964563,42401263
2.9210937,67.96518,0.019016596,40058315
2.9601562,66.208767,0.020190825,37730970
2.9992187,64.521318,0.021503605,35429422
3.0382812,62.899281,0.022974004,33163388
3.0773437,61.33933,0.024624336,30941999
3.1164062,59.838351,0.026480827,28773708
3.1554688,58.39342,0.028574434,26666221
3.1945312,57.001796,0.030941873,24626439
3.2335937,55.660903,0.033626902,22660414
3.2726562,54.36832,0.036681945,20773338
3.3117187,53.121769,0.040170159,18969525
3.3507812,51.919107,0.044168086,17252428
3.3898437,50.758314,0.048769075,15624656
3.4289062,49.637485,0.054087752,14088007
3.4679687,48.554827,0.060265896,12643509
3.5070312,47.508643,0.06748025,11291466
3.5460937,46.497334,0.075953019,10031518
3.5851562,45.519387,0.085966125,8862692.5
3.6242187,44.573375,0.097880823,7783466.9
3.6632812,43.657946,0.11216505,6791829.4
3.7023437,42.771823,0.12943209,5885338.1
3.7414062,41.913796,0.15049617,5061180
3.7804687,41.082721,0.17645376,4316226.1
3.8195312,40.277513,0.20880462,3647084.5
3.8585937,39.497143,0.24963611,3050148
3.8976562,38.740624,0.30191011,2521638.3
3.9367187,38.006991,0.36992131,2057644.7
3.9757812,37.295244,0.46005068,1654157.5
4.0148437,36.604198,0.58204401,1307095.5
4.0539062,35.932023,0.75125992,1012327.8
4.0929687,35.274786,0.99277951,765687.9
4.1320312,34.621449,1.3492262,562979.41
4.1710937,33.93629,1.8961413,399963.95
4.2101562,33.100968,2.7721366,272321.33
4.2492187,31.767833,4.2312219,175634.18
4.2882812,29.220375,6.6953828,105806.19
4.3273437,24.893613,10.700018,60324.471
4.3664062,19.502946,16.561292,36499.121
4.4054687,14.632282,23.6302,26378.814
4.4445312,11.272196,30.156803,22391.3
4.4835937,9.3826311,34.813626,20791.219
4.5226562,8.4621393,37.655902,20082.598
4.5617187,8.0500671,39.384169,19708.823
4.6007812,7.8751717,40.574294,19463.316
4.6398437,7.8081645,41.537642,19267.339
4.6789062,7.7929523,42.417017,19090.314
4.7179687,7.8059288,43.27404,18920.215
4.7570312,7.8370851,44.135215,18752.181
4.7960937,7.8820136,45.012645,18584.099
4.8351562,7.9386468,45.912809,18414.883
4.8742187,8.005943,46.840232,18243.814
