RADIUS_PC,VELOCITY_KMS,DENSITY_CM3,TEMP_K
0.06953125,1183.4929,0.36827451,77596322
0.10859375,1581.8272,0.15931407,65267693
0.14765625,1820.2619,0.087766682,51767497
0.18671875,1978.3525,0.055287973,42386090
0.22578125,2090.168,0.037928622,35565798
0.26484375,2172.9733,0.027599834,30427193
0.30390625,2236.4705,0.020967559,26441525
0.34296875,2286.4776,0.016463079,23276975
0.38203125,2326.742,0.013266666,20714020
0.42109375,2359.7683,0.010917418,18602863
0.46015625,2387.2823,0.009140706,16838535
0.49921875,2410.5104,0.0077646997,15345526
0.53828125,2430.3461,0.0066774563,14068274
0.57734375,2447.4551,0.005803532,12965078
0.61640625,2462.3426,0.0050905886,12004093
0.65546875,2475.3988,0.0045013993,11160622
0.69453125,2486.929,0.0040089027,10415244
0.73359375,2497.1754,0.0035930484,9752500.7
0.77265625,2506.3315,0.0032387329,9159955.5
0.81171875,2514.547,0.0029344456,8627549
0.85078125,2521.8993,0.0026715167,8147416.3
0.88984375,2528.163,0.0024445295,7716064.2
0.92890625,2531.2843,0.0022558456,7356173.3
0.96796875,2518.7267,0.0021313558,7311335.8
1.0070312,2439.8254,0.0021436642,9248710.9
1.0460938,2206.387,0.0023954632,17771145
1.0851562,1821.3571,0.0029269239,33751379
1.1242187,1406.4357,0.0036549244,50730912
1.1632812,1063.6648,0.0044084718,63738187
1.2023437,825.06346,0.0050203928,71998555
1.2414062,675.95064,0.0054233732,76657770
1.2804687,585.83427,0.0056532037,79118512
1.3195312,528.28219,0.0057787394,80427375
1.3585937,487.12819,0.0058518551,81188511
1.3976562,454.33949,0.0059002347,81693998
1.4367187,426.33356,0.0059363644,82070865
1.4757812,401.53501,0.0059655511,82372690
1.5148437,379.18835,0.0059901399,82623362
1.5539062,358.86529,0.0060113162,82835127
1.5929687,340.2768,0.0060297978,83015433
1.6320312,323.20328,0.0060460897,83169446
1.6710937,307.467,0.006060581,83301026
1.7101562,292.91961,0.0060735863,83413142
1.7492187,279.43521,0.006085368,83508102
1.7882812,266.90576,0.0060961501,83587686
1.8273437,255.23776,0.0061061274,83653243
1.8664062,244.34978,0.0061154733,83705757
1.9054687,234.17043,0.0061243457,83745896
