RADIUS_PC,VELOCITY_KMS,DENSITY_CM3
6.9335937,0.99970672,10.040359
6.9726562,1.010083,10.06167
7.0117187,1.0206694,10.083051
7.0507812,1.0314637,10.104507
7.0898437,1.0424635,10.12604
7.1289062,1.0536663,10.147654
7.1679687,1.0650699,10.169352
7.2070312,1.0766718,10.191137
7.2460937,1.0884697,10.213013
7.2851562,1.1004611,10.234982
7.3242187,1.1126437,10.257047
7.3632812,1.1250151,10.279212
7.4023437,1.1375729,10.301479
7.4414062,1.1503147,10.323851
7.4804688,1.1632381,10.346332
7.5195312,1.1763408,10.368923
7.5585937,1.1896203,10.391628
7.5976562,1.2030743,10.41445
7.6367187,1.2167004,10.437391
7.6757812,1.2304964,10.460454
7.7148437,1.2444597,10.483642
7.7539062,1.2585881,10.506957
7.7929687,1.2728792,10.530402
7.8320312,1.2873308,10.55398
7.8710937,1.3019404,10.577692
7.9101562,1.3167058,10.601543
7.9492187,1.3316247,10.625534
7.9882812,1.3466948,10.649668
8.0273438,1.3619138,10.673948
8.0664062,1.3772794,10.698375
8.1054687,1.3927894,10.722953
8.1445312,1.4084415,10.747684
8.1835937,1.4242334,10.772571
8.2226562,1.440163,10.797616
8.2617187,1.456228,10.822822
8.3007812,1.4724262,10.84819
8.3398438,1.4887553,10.873725
8.3789062,1.5052132,10.899428
8.4179687,1.5217975,10.925303
8.4570312,1.5385061,10.951351
8.4960937,1.5553367,10.977575
8.5351562,1.5722871,11.003979
8.5742187,1.5893552,11.030564
8.6132812,1.6065386,11.057335
8.6523437,1.6238352,11.084293
8.6914062,1.6412428,11.111442
8.7304687,1.6587592,11.138785
8.7695312,1.6763823,11.166325
8.8085938,1.6941098,11.194065
8.8476562,1.7119396,11.222008
8.8867187,1.7298698,11.250159
8.9257812,1.7478982,11.278521
8.9648437,1.7660229,11.307097
9.0039062,1.7842419,11.335891
9.0429687,1.8025533,11.364907
9.0820312,1.8209553,11.394149
9.1210937,1.8394462,11.423622
9.1601562,1.8580243,11.45333
9.1992187,1.8766881,11.483277
9.2382812,1.8954361,11.513469
9.2773437,1.9142668,11.54391
9.3164062,1.9331791,11.574606
9.3554687,1.9521716,11.605562
9.3945312,1.9712433,11.636784
9.4335938,1.9903933,11.668277
9.4726562,2.0096207,11.700049
9.5117187,2.0289247,11.732105
9.5507812,2.0483047,11.764452
9.5898437,2.0677602,11.797097
9.6289062,2.0872907,11.830048
9.6679688,2.106896,11.863313
9.7070312,2.1265759,11.8969
9.7460937,2.1463304,11.930818
9.7851562,2.1661596,11.965075
9.8242187,2.1860637,11.999682
9.8632812,2.2060432,12.034648
9.9023437,2.2260984,12.069984
9.9414062,2.2462302,12.1057
9.9804687,2.2664393,12.14181
10.019531,2.2867268,12.178324
10.058594,2.3070937,12.215257
10.097656,2.3275416,12.252621
10.136719,2.3480718,12.290431
10.175781,2.3686863,12.328703
10.214844,2.3893869,12.367452
10.253906,2.4101758,12.406696
10.292969,2.4310555,12.446452
10.332031,2.4520287,12.48674
10.371094,2.4730982,12.52758
10.410156,2.4942674,12.568992
10.449219,2.5155397,12.611001
10.488281,2.5369189,12.653629
10.527344,2.5584092,12.696903
10.566406,2.5800151,12.740848
10.605469,2.6017415,12.785495
10.644531,2.6235936,12.830874
10.683594,2.6455772,12.877017
10.722656,2.6676984,12.92396
10.761719,2.6899637,12.97174
10.800781,2.7123805,13.020395
10.839844,2.7349564,13.06997
10.878906,2.7576997,13.12051
10.917969,2.7806195,13.172063
10.957031,2.8037255,13.224682
10.996094,2.8270282,13.278425
11.035156,2.850539,13.333352
11.074219,2.8742702,13.389529
11.113281,2.8982352,13.447027
11.152344,2.9224487,13.505925
11.191406,2.9469263,13.566307
11.230469,2.9716856,13.628265
11.269531,2.9967455,13.691898
11.308594,3.0221267,13.757318
11.347656,3.0478524,13.824645
11.386719,3.0739478,13.894012
11.425781,3.1004413,13.965568
11.464844,3.1273642,14.039476
11.503906,3.1547518,14.115918
11.542969,3.1826438,14.195099
11.582031,3.2110852,14.277247
11.621094,3.2401273,14.362623
11.660156,3.2698287,14.451521
11.699219,3.3002574,14.544278
11.738281,3.3314923,14.641278
11.777344,3.3636262,14.742971
11.816406,3.3967689,14.849879
11.855469,3.4310519,14.962616
11.894531,3.4666347,15.081911
11.933594,3.5037131,15.208644
11.972656,3.5425312,15.343882
12.011719,3.5834,15.488945
12.050781,3.6267278,15.645494
12.089844,3.6730701,15.815662
12.128906,3.7232144,16.002287
12.167969,3.7783436,16.209334
12.207031,3.8404279,16.442709
12.246094,3.9132573,16.711996
12.285156,4.005117,17.034699
12.324219,4.1356587,17.448056
12.363281,4.354239,18.043625
12.402344,4.7815739,19.056868
12.441406,5.6733694,21.092334
12.480469,7.1989426,25.429519
12.519531,7.9186431,32.509669
12.558594,7.4614795,41.294901
12.597656,6.9002068,49.896347
12.636719,6.6330505,57.605995
12.675781,6.5248361,64.858315
12.714844,6.4769779,72.021285
12.753906,6.4498755,79.252765
12.792969,6.4300348,86.595954
12.832031,6.4130071,94.046862
12.871094,6.397285,101.5841
12.910156,6.3823282,109.18069
12.949219,6.367927,116.8087
12.988281,6.3539918,124.44128
13.027344,6.3404805,132.05363
13.066406,6.3273713,139.62344
13.105469,6.3146525,147.1312
13.144531,6.3023173,154.56021
13.183594,6.2903618,161.89656
13.222656,6.2787842,169.12899
13.261719,6.2675842,176.24867
13.300781,6.2567624,183.24895
13.339844,6.2463205,190.12501
13.378906,6.236261,196.87361
13.417969,6.2265871,203.49271
13.457031,6.2173026,209.98118
13.496094,6.2084117,216.33852
13.535156,6.1999188,222.56462
13.574219,6.1918285,228.65953
13.613281,6.184145,234.62334
13.652344,6.1768724,240.45609
13.691406,6.1700136,246.15769
13.730469,6.1635708,251.728
13.769531,6.1575446,257.16686
13.808594,6.1519341,262.47422
13.847656,6.1467365,267.65034
13.886719,6.1419464,272.6959
13.925781,6.1375562,277.61225
13.964844,6.1335548,282.40161
14.003906,6.1299282,287.06722
14.042969,6.126658,291.61353
14.082031,6.1237213,296.04623
14.121094,6.1210891,300.37231
14.160156,6.1187242,304.59992
14.199219,6.1165781,308.73808
14.238281,6.1145834,312.7961
14.277344,6.1126424,316.78252
14.316406,6.1106026,320.7032
14.355469,6.1082136,324.55781
14.394531,6.105043,328.33344
14.433594,6.1003214,331.99271
14.472656,6.0926508,335.4518
14.511719,6.0794677,338.53994
14.550781,6.0560615,340.9261
14.589844,6.0138193,341.99077
14.628906,5.9371894,340.61678
14.667969,5.7987203,334.89407
14.707031,5.5517512,321.84099
14.746094,5.1217827,297.54937
14.785156,4.402894,258.69601
14.824219,3.2847699,206.51413
14.863281,1.7994341,152.01373
14.902344,0.49745087,114.62819
14.941406,0.046749975,101.90563
14.980469,0.0020369559,100.12628
15.019531,7.4922019e-05,100.00571
15.058594,2.7315595e-06,100.00022
15.097656,9.9416649e-08,100.00001
15.136719,3.6126383e-09,100
15.175781,1.3108159e-10,100
15.214844,4.761404e-12,100
15.253906,1.8159414e-13,100
15.292969,1.0609793e-14,100
15.332031,1.8230371e-15,100
15.371094,1.7337571e-15,100
15.410156,1.3409516e-15,100
15.449219,1.2125544e-15,100
15.488281,1.0812183e-15,100
15.527344,-1.2931587e-15,100
15.566406,-6.3472077e-16,100
15.605469,2.583925e-15,100
15.644531,3.7565908e-15,100
15.683594,2.8619792e-15,100
15.722656,-3.4434756e-16,100
15.761719,-1.2566251e-15,100
15.800781,5.1470936e-15,100
15.839844,1.1746022e-14,100
15.878906,1.0053289e-14,100
15.917969,4.4513119e-15,100
15.957031,-2.0991828e-16,100
15.996094,-7.8958971e-15,100
16.035156,-8.5571723e-15,100
16.074219,-4.7823217e-15,100
16.113281,-3.8705496e-15,100
16.152344,-3.4797456e-15,100
16.191406,-3.4461314e-15,100
16.230469,-2.5607657e-15,100
16.269531,-4.2538792e-15,100
16.308594,-5.9117558e-15,100
16.347656,-5.7827556e-15,100
16.386719,-6.4340496e-15,100
16.425781,-9.2976616e-15,100
16.464844,-7.6042975e-15,100
16.503906,-4.3481883e-15,100
16.542969,-6.3016118e-15,100
16.582031,-1.1716535e-14,100
16.621094,-1.0544142e-14,100
16.660156,-7.2858477e-15,100
16.699219,-4.5086672e-15,100
16.738281,3.9105996e-15,100
16.777344,7.9465015e-15,100
16.816406,6.5647131e-15,100
16.855469,5.9150572e-15,100
16.894531,3.0905189e-15,100
16.933594,-2.2584635e-15,100
16.972656,1.7612907e-15,100
17.011719,1.0471856e-14,100
17.050781,1.0632255e-14,100
17.089844,7.2931476e-15,100
17.128906,4.557801e-15,100
17.167969,3.4252609e-15,100
17.207031,2.5138586e-15,100
17.246094,1.8629455e-15,100
17.285156,5.7100808e-15,100
17.324219,7.4040364e-15,100
17.363281,2.3245339e-15,100
17.402344,-3.538927e-15,100
17.441406,-5.2391972e-15,100
17.480469,-5.8910242e-15,100
17.519531,-8.4893487e-15,100
17.558594,-7.3178287e-15,100
17.597656,-1.273211e-15,100
17.636719,5.1097587e-15,100
17.675781,4.7164375e-15,100
17.714844,-1.4035515e-15,100
17.753906,-7.5195688e-16,100
17.792969,1.206627e-15,100
17.832031,8.1589877e-16,100
17.871094,1.9882182e-15,100
17.910156,2.4722858e-15,100
17.949219,-1.0451549e-15,100
17.988281,-4.0416787e-15,100
18.027344,-5.0806001e-15,100
18.066406,-6.2515647e-15,100
18.105469,-5.3412787e-15,100
18.144531,-6.0545576e-15,100
18.183594,-6.6930363e-15,100
18.222656,-5.5213122e-15,100
18.261719,1.4852854e-15,100
18.300781,6.2987836e-15,100
18.339844,5.1263142e-15,100
18.378906,8.3746803e-15,100
18.417969,1.2150062e-14,100
18.457031,1.2274253e-14,100
18.496094,9.2793983e-15,100
18.535156,8.2230197e-15,100
18.574219,8.0932262e-15,100
18.613281,3.9056348e-15,100
18.652344,-2.7363045e-15,100
18.691406,-7.6062383e-15,100
18.730469,-1.0288021e-14,100
18.769531,-1.0413624e-14,100
18.808594,-6.2840788e-15,100
18.847656,-5.3709592e-15,100
18.886719,-1.0200797e-14,100
18.925781,-1.501919e-14,100
18.964844,-2.2182615e-14,100
19.003906,-2.8041862e-14,100
19.042969,-1.8212698e-14,100
19.082031,-5.5796723e-15,100
19.121094,-2.5804225e-15,100
19.160156,2.7603189e-15,100
19.199219,7.6155289e-15,100
19.238281,1.0287381e-14,100
19.277344,1.137472e-14,100
19.316406,9.9397553e-15,100
19.355469,7.2042629e-15,100
19.394531,4.7378122e-15,100
19.433594,2.0039419e-15,100
19.472656,1.8870592e-15,100
19.511719,2.3000712e-15,100
